,name,shorten_label,general_desc,positive_desc,negative_desc,behaviour,type,interest
10,energizer,EN,"Energizers mampu menginspirasi dan memotivasi orang lain, membawa semangat dan vitalitas ke dalam setiap situasi dengan talenta energizer.",Anda mampu menginspirasi dan memotivasi orang lain dengan semangat dan vitalitas yang Anda bawa ke dalam setiap situasi. Energi positif dan antusiasme Anda membuat orang-orang di sekitar Anda merasa bersemangat dan terinspirasi untuk mencapai tujuan mereka. Kehadiran Anda yang penuh semangat mengubah suasana dan mendorong orang lain untuk memberikan yang terbaik dari diri mereka sendiri.,Anda mungkin kurang mampu menginspirasi dan memotivasi orang lain. Kekurangan semangat dan vitalitas dalam setiap situasi membuat orang-orang di sekitar Anda merasa kurang bersemangat dan terinspirasi. Energi positif yang kurang menyebabkan suasana menjadi kurang dinamis dan berdaya.,Mampu menciptakan hubungan yang kuat dan membangun kepercayaan dengan orang lain.,network,enterprising
11,focused,FC,"Individu yang fokus pada tujuan dan tugas mereka, menunjukkan ketekunan dan konsentrasi dalam mencapai hasil, mewakili talenta focused.","Anda sangat fokus pada tujuan dan tugas Anda. Ketekunan dan konsentrasi Anda dalam mencapai hasil memastikan bahwa setiap tujuan yang Anda tetapkan akan tercapai dengan sukses. Dedikasi Anda terhadap pekerjaan Anda adalah contoh yang menginspirasi bagi orang lain. Dengan fokus yang tajam dan komitmen yang kuat, Anda selalu berhasil meraih pencapaian yang luar biasa.",Anda mungkin sering kehilangan fokus pada tujuan dan tugas Anda. Kurangnya ketekunan dan konsentrasi dalam mencapai hasil membuat Anda sering kali gagal meraih tujuan yang telah ditetapkan. Dedikasi yang kurang terhadap pekerjaan Anda membuat hasil yang dicapai tidak memuaskan.,Memiliki kemampuan untuk melihat potensi dalam setiap individu dan membantu mereka untuk mencapainya.,action,conventional
12,forgiving,FG,Forgiving individuals mampu memaafkan kesalahan orang lain dan melanjutkan hubungan dengan kedermawanan dan pengertian.,"Anda mampu memaafkan kesalahan orang lain dengan kedermawanan dan pengertian. Sikap pemaaf Anda membantu memperbaiki hubungan dan menciptakan kedamaian. Dengan hati yang lapang, Anda memancarkan ketenangan dan mengajarkan nilai-nilai kebaikan kepada orang-orang di sekitar Anda. Keikhlasan Anda dalam memaafkan memberikan contoh mulia bagi orang lain untuk meneladani.",Anda mungkin merasa sulit untuk memaafkan kesalahan orang lain. Sikap pemaaf yang kurang membuat hubungan menjadi tegang dan sulit diperbaiki. Ketidakmampuan untuk melanjutkan hubungan dengan kedermawanan dan pengertian membuat Anda terlihat kurang murah hati dan memahami.,Berkomitmen untuk mencapai kesempurnaan dalam setiap tugas atau proyek yang mereka lakukan.,network,social
13,generous,GS,"Generous individuals selalu bersedia memberikan dengan murah hati kepada orang lain, menunjukkan kemurahan hati dan kebaikan budi mereka.",Anda selalu bersedia memberikan dengan murah hati kepada orang lain. Kemurahan hati Anda yang tulus menunjukkan kebaikan budi yang luar biasa. Kedermawanan Anda menciptakan ikatan yang kuat dan saling menghargai di antara komunitas Anda. Kebaikan Anda tidak hanya memberikan manfaat materi tetapi juga menyebarkan rasa kasih dan kepedulian yang mendalam.,Anda mungkin tidak selalu bersedia memberikan dengan murah hati kepada orang lain. Kemurahan hati yang kurang membuat Anda terlihat kurang peduli dan tidak perhatian. Sikap yang kurang dermawan menyebabkan hubungan dengan orang lain menjadi kurang hangat dan saling menghargai.,"Memiliki kepekaan yang tinggi terhadap kebutuhan dan perasaan orang lain, serta bersedia untuk membantu.",network,social
14,goal-getter,GG,Goal-getters menetapkan tujuan yang ambisius dan bertekad untuk mencapainya dengan semangat dan kegigihan yang tinggi.,"Anda menetapkan tujuan yang ambisius dan bertekad untuk mencapainya dengan semangat dan kegigihan yang tinggi. Tekad Anda untuk mencapai kesuksesan adalah inspirasi bagi banyak orang, memotivasi mereka untuk juga berjuang meraih impian mereka. Anda adalah contoh nyata bahwa dengan kerja keras dan ketekunan, setiap impian dapat diwujudkan.",Anda mungkin sering gagal menetapkan tujuan yang ambisius dan bertekad untuk mencapainya. Kurangnya semangat dan kegigihan membuat Anda sulit mencapai kesuksesan. Tekad yang lemah menghalangi Anda untuk meraih impian dan menjadi inspirasi bagi orang lain.,Cenderung menemukan solusi kreatif dan inovatif untuk setiap masalah atau tantangan yang dihadapi.,drive,enterprising
15,harmony,HM,Orang yang memiliki talenta harmony memiliki kemampuan untuk menciptakan keselarasan dan keseimbangan dalam hubungan dan lingkungan.,Anda memiliki kemampuan untuk menciptakan keselarasan dan keseimbangan dalam hubungan dan lingkungan. Kemampuan Anda untuk menyatukan berbagai kepentingan dan menciptakan suasana yang harmonis memastikan bahwa setiap orang merasa dihargai dan didengar. Anda adalah perekat yang menyatukan berbagai elemen menjadi satu kesatuan yang harmonis.,Anda mungkin kesulitan menciptakan keselarasan dan keseimbangan dalam hubungan dan lingkungan. Kemampuan yang kurang untuk menyatukan berbagai kepentingan membuat suasana menjadi tidak harmonis. Keterampilan yang kurang dalam menciptakan keselarasan membuat Anda kurang efektif dalam membangun hubungan yang harmonis.,Mampu memahami dan membaca situasi dengan akurasi tanpa perlu informasi yang jelas.,network,social
16,innovative,IV,"Innovative individuals kreatif dalam menciptakan solusi baru untuk masalah yang kompleks, menghadirkan ide-ide segar dan orisinal ke meja diskusi.","Anda kreatif dalam menciptakan solusi baru untuk masalah yang kompleks. Ide-idemu yang segar dan orisinal membawa inovasi dan perubahan positif. Dengan kreativitas Anda, Anda membantu membuka jalan baru dan mengatasi tantangan yang tampaknya tak terpecahkan. Inovasi Anda membawa dampak signifikan dan membuka peluang baru bagi banyak orang.",Anda mungkin merasa sulit untuk menciptakan solusi baru untuk masalah yang kompleks. Ide-ide yang kurang segar dan orisinal membuat Anda terlihat kurang inovatif. Kekreatifan yang terbatas menghalangi Anda untuk menghadirkan perubahan positif dan membuka jalan baru.,Memiliki kemampuan untuk berpikir secara logis dan analitis dalam menghadapi masalah kompleks.,action,artistic
17,intuitive,IN,Intuitive individuals memiliki insting yang kuat dan dapat memahami situasi tanpa perlu informasi yang jelas atau eksplisit.,"Anda memiliki insting yang kuat dan dapat memahami situasi tanpa perlu informasi yang jelas atau eksplisit. Kepekaan Anda terhadap lingkungan sekitar membantu dalam membuat keputusan yang tepat dan bijaksana. Intuisi Anda adalah alat yang sangat berharga dalam navigasi kehidupan sehari-hari, memandu Anda melalui situasi kompleks dengan kejelasan dan ketepatan.",Anda mungkin kurang memiliki insting yang kuat dan kesulitan memahami situasi tanpa informasi yang jelas. Ketajaman intuisi yang kurang membuat Anda sering kali tidak mampu membuat keputusan yang tepat. Kepekaan yang rendah terhadap lingkungan sekitar menghambat navigasi dalam situasi kompleks.,Berkomitmen untuk bertindak dengan integritas dan moralitas yang tinggi dalam setiap situasi.,action,artistic
18,logical,LG,"Logical thinkers mampu menganalisis informasi secara sistematis dan rasional, membuat keputusan berdasarkan fakta dan logika.","Anda mampu menganalisis informasi secara sistematis dan rasional. Keputusan yang Anda buat selalu didasarkan pada fakta dan logika yang solid. Dengan pendekatan yang terstruktur ini, Anda memastikan bahwa setiap tindakan yang diambil adalah yang terbaik dan paling efisien. Analisis Anda yang mendalam memastikan solusi yang tepat dan berdasar.",Anda mungkin kesulitan menganalisis informasi secara sistematis dan rasional. Kurangnya kemampuan untuk membuat keputusan berdasarkan fakta dan logika membuat tindakan Anda sering kali tidak tepat. Analisis yang kurang mendalam mengakibatkan solusi yang tidak efektif.,Cenderung mengambil inisiatif dan menjadi penggerak di antara orang lain dalam mencapai tujuan bersama.,action,conventional
19,noble,NB,"Noble individuals memiliki integritas dan moralitas yang tinggi, selalu bertindak dengan kejujuran dan martabat.","Anda memiliki integritas dan moralitas yang tinggi. Tindakan Anda selalu didasarkan pada kejujuran dan martabat, membuat Anda dihormati oleh orang lain. Prinsip-prinsip etika Anda menjadi landasan dalam setiap keputusan yang Anda ambil, menjadikan Anda teladan yang dihormati dan dipercaya dalam komunitas Anda.",Anda mungkin kurang memiliki integritas dan moralitas yang tinggi. Tindakan yang tidak selalu didasarkan pada kejujuran dan martabat membuat Anda kurang dihormati oleh orang lain. Kurangnya prinsip etika menghambat Anda untuk menjadi teladan yang dihormati dan dipercaya.,Memiliki hasrat yang kuat untuk meraih kemenangan dan menjadi yang terbaik dalam segala hal.,drive,conventional
20,optimizer,OP,Optimizers mencari cara terbaik untuk meningkatkan efisiensi dan kualitas dalam segala hal yang mereka lakukan.,"Anda selalu mencari cara terbaik untuk meningkatkan efisiensi dan kualitas dalam segala hal yang Anda lakukan. Kemampuan Anda untuk mengoptimalkan setiap situasi adalah keahlian yang sangat berharga, memastikan hasil yang maksimal dalam setiap usaha. Anda selalu berusaha untuk mencapai kesempurnaan dengan cara yang paling efektif dan efisien.",Anda mungkin kurang mampu mencari cara terbaik untuk meningkatkan efisiensi dan kualitas dalam segala hal yang Anda lakukan. Kurangnya kemampuan untuk mengoptimalkan setiap situasi membuat hasil yang dicapai kurang maksimal. Efektivitas yang rendah menghambat pencapaian kesempurnaan.,Fleksibel dalam menghadapi berbagai situasi dan siap untuk beradaptasi dengan perubahan.,drive,realistic
21,resourceful,RS,"Resourceful individuals kreatif dalam menemukan solusi untuk masalah yang kompleks, menggunakan sumber daya yang tersedia dengan bijaksana.","Anda kreatif dalam menemukan solusi untuk masalah yang kompleks. Sumber daya yang tersedia Anda gunakan dengan bijaksana, menunjukkan kepiawaian Anda dalam menghadapi tantangan. Keahlian ini membuat Anda menjadi pemecah masalah yang andal, selalu siap menemukan jalan keluar bahkan dalam situasi yang paling sulit sekalipun.","Anda mungkin merasa kurang kreatif dalam menemukan solusi untuk masalah yang kompleks. Sumber daya yang tersedia sering kali tidak digunakan dengan bijaksana, menunjukkan kurangnya kepiawaian dalam menghadapi tantangan. Keterampilan yang terbatas dalam pemecahan masalah membuat Anda kurang andal dalam situasi sulit.",Mempunyai kecenderungan untuk merenung dan mempertimbangkan secara mendalam sebelum mengambil keputusan.,action,realistic
22,self-confident,SF,Self-confident individuals memiliki keyakinan diri yang kuat dan percaya pada kemampuan mereka untuk mencapai tujuan yang ditetapkan.,"Anda memiliki keyakinan diri yang kuat dan percaya pada kemampuan Anda untuk mencapai tujuan yang ditetapkan. Kepercayaan diri Anda ini membuat Anda selalu tampil yakin dan berani, menginspirasi orang lain untuk juga mempercayai diri mereka sendiri. Anda adalah contoh teladan bagi banyak orang dalam hal keteguhan hati dan keyakinan diri.","Anda mungkin kurang memiliki keyakinan diri yang kuat dan merasa ragu pada kemampuan Anda untuk mencapai tujuan. Kepercayaan diri yang rendah membuat Anda terlihat kurang yakin dan berani, menginspirasi orang lain untuk juga meragukan kemampuan mereka sendiri. Ketidakpastian ini menghambat Anda untuk mencapai hasil yang diinginkan.",Menunjukkan kelembutan dan perhatian yang tulus terhadap orang lain dalam interaksi mereka.,drive,enterprising
23,significant,SG,Significant individuals berusaha untuk membuat dampak positif yang signifikan dalam kehidupan orang lain dan di dunia.,"Anda berusaha untuk membuat dampak positif yang signifikan dalam kehidupan orang lain dan di dunia. Dedikasi Anda untuk perubahan yang baik menunjukkan komitmen yang kuat dan membuat Anda menjadi agen perubahan yang dihormati. Anda bekerja tanpa lelah untuk menciptakan perbedaan yang berarti, menjadikan dunia tempat yang lebih baik bagi semua orang.",Anda mungkin kurang berusaha untuk membuat dampak positif yang signifikan dalam kehidupan orang lain dan di dunia. Dedikasi yang rendah terhadap perubahan yang baik membuat Anda terlihat kurang komitmen. Upaya yang kurang untuk menciptakan perbedaan berarti menghambat Anda untuk menjadi agen perubahan yang dihormati.,Memiliki kecenderungan untuk membuat struktur dan kerangka kerja yang jelas dalam menjalankan tugas.,drive,artistic
24,sociable,SC,Sociable individuals nyaman dalam interaksi sosial dan menikmati berinteraksi dengan berbagai macam orang.,Anda nyaman dalam interaksi sosial dan menikmati berinteraksi dengan berbagai macam orang. Keterampilan Anda dalam berkomunikasi dan berhubungan dengan orang lain membuat Anda mudah diterima dalam berbagai lingkungan sosial. Kemampuan Anda untuk membangun hubungan yang hangat dan tulus membuat Anda disukai dan dihormati oleh banyak orang.,Anda mungkin merasa tidak nyaman dalam interaksi sosial dan cenderung menghindari berinteraksi dengan berbagai macam orang. Kesulitan dalam berkomunikasi dan berhubungan dengan orang lain membuat Anda kurang diterima dalam berbagai lingkungan sosial. Keterampilan yang kurang dalam membangun hubungan membuat Anda kurang disukai oleh banyak orang.,Menunjukkan kesetiaan dan kejujuran dalam setiap tindakan dan perkataannya.,network,social
25,strategizer,SZ,Strategizers memiliki kemampuan untuk merencanakan langkah-langkah jangka panjang dan taktik yang efektif untuk mencapai tujuan mereka.,"Anda memiliki kemampuan untuk merencanakan langkah-langkah jangka panjang dan taktik yang efektif untuk mencapai tujuan Anda. Perencanaan strategis Anda memastikan kesuksesan dalam setiap proyek, dengan visi jangka panjang yang jelas dan terarah. Anda mampu mengantisipasi tantangan yang mungkin muncul dan merencanakan langkah-langkah yang diperlukan untuk mengatasinya, memastikan bahwa setiap tujuan yang Anda tetapkan tercapai dengan cara yang paling efisien dan efektif.",Anda mungkin kurang mampu merencanakan langkah-langkah jangka panjang dan taktik yang efektif untuk mencapai tujuan Anda. Perencanaan yang kurang strategis membuat proyek sering kali gagal mencapai kesuksesan yang diinginkan. Visi jangka panjang yang tidak jelas menghambat pencapaian tujuan yang optimal.,Memiliki kemampuan untuk memperhatikan dan menghargai kebutuhan individu dalam setiap interaksi.,action,investigative
26,troubleshooter,TS,"Troubleshooters terampil dalam mengidentifikasi dan menyelesaikan masalah, menemukan solusi yang efisien dalam situasi yang rumit.","Anda terampil dalam mengidentifikasi dan menyelesaikan masalah. Solusi yang Anda temukan selalu efisien dan efektif, membuat Anda andal dalam situasi yang rumit. Kemampuan ini menjadikan Anda seorang pemecah masalah yang dihargai, selalu siap memberikan solusi terbaik bahkan dalam kondisi yang paling menantang sekalipun.",Anda mungkin merasa kesulitan dalam mengidentifikasi dan menyelesaikan masalah. Solusi yang kurang efisien dan efektif membuat Anda terlihat kurang andal dalam situasi yang rumit. Keterampilan yang kurang dalam pemecahan masalah membuat Anda sering kali tidak mampu memberikan solusi terbaik.,Mampu berpikir strategis dan merencanakan langkah-langkah untuk mencapai tujuan jangka panjang.,action,realistic
27,vigorous,VG,Vigorous individuals memiliki energi yang tak terbatas dan kemampuan untuk bekerja keras dalam mencapai tujuan mereka.,"Anda memiliki energi yang tak terbatas dan kemampuan untuk bekerja keras dalam mencapai tujuan Anda. Semangat dan ketekunan Anda adalah inspirasi bagi orang lain, mendorong mereka untuk terus maju meski dihadapkan dengan rintangan. Anda menunjukkan bahwa dengan dedikasi dan kerja keras, setiap impian dapat diwujudkan, tidak peduli seberapa besar tantangan yang harus dihadapi.",Anda mungkin memiliki energi yang terbatas dan merasa cepat lelah dalam mencapai tujuan Anda. Semangat yang rendah dan ketekunan yang kurang membuat Anda sulit untuk bekerja keras. Ketidakmampuan untuk menghadapi tantangan dengan penuh energi menghalangi Anda untuk mencapai kesuksesan yang diinginkan.,Terampil dalam mengidentifikasi masalah dan menemukan solusi yang efektif untuk mengatasinya.,drive,realistic
28,visionary,VS,"Visionaries memiliki pandangan masa depan yang jelas dan inspiratif, mengilhami orang lain untuk bermimpi besar dan mengejar visi mereka.","Anda memiliki pandangan masa depan yang jelas dan inspiratif. Visi yang Anda bagikan mengilhami orang lain untuk bermimpi besar dan mengejar tujuan mereka dengan tekad dan semangat. Anda mampu melihat potensi yang belum tergali dan mengarahkan orang lain untuk mencapai hal-hal besar, menjadikan Anda seorang pemimpin visioner yang dihormati.",Anda mungkin kurang memiliki pandangan masa depan yang jelas dan inspiratif. Visi yang kurang mengilhami membuat orang lain merasa kurang tergerak untuk bermimpi besar dan mengejar tujuan mereka. Ketidakmampuan untuk melihat potensi yang belum tergali menghambat Anda untuk menjadi pemimpin visioner yang dihormati.,Memiliki energi dan semangat yang tinggi dalam mengejar tujuan dan memotivasi orang lain.,drive,investigative
29,perfectionist,PF,"Perfectionists mengejar standar yang tinggi dalam segala hal yang mereka lakukan, mencari kesempurnaan dalam setiap detail.","Anda mengejar standar yang tinggi dalam segala hal yang Anda lakukan. Keinginan Anda untuk mencapai kesempurnaan memastikan bahwa setiap detail diperhatikan dengan seksama, menghasilkan kualitas yang luar biasa dalam pekerjaan Anda. Dedikasi Anda terhadap keunggulan menetapkan tolok ukur tinggi yang menginspirasi orang lain untuk mencapai yang terbaik dari diri mereka sendiri.",Anda mungkin kurang mengejar standar yang tinggi dalam segala hal yang Anda lakukan. Kurangnya keinginan untuk mencapai kesempurnaan membuat hasil kerja Anda kurang memuaskan. Dedikasi yang rendah terhadap keunggulan menghambat pencapaian kualitas yang luar biasa.,Memiliki visi yang jelas tentang masa depan dan mampu menginspirasi orang lain untuk mengikuti.,drive,conventional
30,advisor,AD,"Advisors memberikan nasihat dan panduan yang berharga kepada orang lain, berbagi pengetahuan dan pengalaman mereka dengan murah hati.","Anda memberikan nasihat dan panduan yang berharga kepada orang lain. Pengetahuan dan pengalaman yang Anda bagikan dengan murah hati adalah sumber inspirasi dan bantuan bagi banyak orang. Anda adalah penasihat yang dihormati dan dipercaya, selalu siap membantu orang lain dengan wawasan dan kebijaksanaan Anda yang mendalam.",Anda mungkin merasa kurang mampu memberikan nasihat dan panduan yang berharga kepada orang lain. Pengetahuan dan pengalaman yang terbatas membuat Anda kurang dihormati sebagai penasihat. Ketidakmampuan untuk berbagi wawasan dan kebijaksanaan menghalangi Anda untuk menjadi sumber inspirasi bagi banyak orang.,Mencari kesempurnaan dalam setiap detail dan mencapai standar yang tinggi dalam segala hal.,network,artistic
31,fixer,FX,Fixers terampil dalam mengidentifikasi masalah dan menemukan solusi yang efektif untuk mengatasinya.,"Anda terampil dalam mengidentifikasi masalah dan menemukan solusi yang efektif. Kemampuan Anda ini memastikan bahwa setiap masalah dapat diatasi dengan cepat dan efisien, menjadikan Anda seorang penyelesai masalah yang andal. Keahlian Anda dalam analisis dan solusi problematik adalah aset berharga dalam setiap tim atau proyek yang Anda tangani.",Anda mungkin merasa kesulitan dalam mengidentifikasi masalah dan menemukan solusi yang efektif. Kurangnya keterampilan dalam analisis dan solusi problematik membuat Anda kurang andal sebagai penyelesai masalah. ,Mampu memberikan nasihat yang bijaksana dan membantu orang lain dalam mengambil keputusan.,action,realistic
